Security,Company Name,Bid Qty,Bid Price,Ask Price,Ask Qty,Last,Last Qty,Change,% Change,High,Low,VWA,Volume,Turnover,Trades,Price Close,Buy Sentiment,Time
ACL.N0000,ACL CABLES PLC,500,101.75,102.00,151684,102.00,65,1.25,1.24,102.00,100.50,101.01,2717160,274464666.00,570,100.75,77.11%,14:29:36.665589
COCO.N0000,RENUKA FOODS PLC,1195,69.90,71.00,1409,71.00,1,1.00,1.43,71.40,69.40,70.41,127074,8947418.30,98,70.00,62.22%,14:29:48.724254
COCO.X0000,RENUKA FOODS PLC [Non-Voting],460,54.00,54.90,51240,54.00,1,-2.50,-4.42,57.40,52.10,53.57,18911,1013110.30,45,56.50,30.34%,14:26:38.703002
COMB.N0000,COMMERCIAL BANK OF CEYLON PLC,4367,226.50,227.00,10975,227.00,100,-0.75,-0.33,229.00,226.00,227.19,60137,13662539.50,211,227.75,35.76%,14:25:10.840089
DIAL.N0000,DIALOG AXIATA PLC,19501,32.70,33.10,496,33.10,4,0.30,0.91,33.50,32.60,32.74,681321,22305855.80,182,32.80,77.54%,14:26:06.681718
DOCK.N0000,COLOMBO DOCKYARD PLC,3400,153.00,153.75,54699,153.00,700,6.75,4.62,156.00,145.00,154.11,10906080,1680735236.00,2846,146.25,56%,14:29:49.529099
HAYL.N0000,HAYLEYS PLC,12,241.50,241.75,510,241.75,20,-2.50,-1.02,244.00,238.00,240.41,336973,81011231.75,405,244.25,19.50%,14:29:52.547903
HNB.N0000,HATTON NATIONAL BANK PLC,817,426.50,427.00,1389,427.00,8,-0.75,-0.18,430.00,425.00,426.48,127229,54260397.25,223,427.75,99.24%,14:28:48.090860
JETS.N0000,JETWING SYMPHONY PLC,22742,18.70,18.80,59833,18.70,277,-0.20,-1.06,18.90,18.70,18.77,42809,803513.60,56,18.90,43.73%,14:20:05.134436
JKH.N0000,JOHN KEELLS HOLDINGS PLC,239440,22.60,22.70,532513,22.70,520,0.00,0.00,22.80,22.60,22.68,2089194,47374588.80,392,22.70,61.13%,14:29:59.015890
LIOC.N0000,LANKA IOC PLC,64026,143.00,144.50,15635,144.50,250,3.25,2.30,145.00,141.00,144.02,566478,81584834.50,306,141.25,83.41%,14:29:57.048888
LLUB.N0000,CHEVRON LUBRICANTS LANKA PLC,500,195.50,195.75,150,195.75,10,1.50,0.77,197.00,194.00,195.10,55116,10753116.50,103,194.25,71.07%,14:29:06.472796
MELS.N0000,MELSTACORP PLC,275,184.25,184.50,3168,184.50,300,-0.50,-0.27,185.00,183.00,183.91,29015,5336137.00,41,185.00,92.48%,14:29:07.262618
NTB.N0000,NATIONS TRUST BANK PLC,20,342.75,344.25,500,342.75,5,-0.25,-0.07,344.25,342.50,343.32,5917,2031418.25,57,343.00,76.91%,14:27:28.133105
NTB.X0000,NATIONS TRUST BANK PLC [Non-Voting],405,407.50,411.00,484,,,,0.00,0,0,0,,,411.00,,--:--:--
SAMP.N0000,SAMPATH BANK PLC,110356,155.25,155.50,4689,155.50,430,0.25,0.16,156.00,155.00,155.20,965542,149849305.50,594,155.25,40.95%,14:29:55.024095
SMOT.N0000,SATHOSA MOTORS PLC,5,1630.00,1650.00,78,1650.00,420,20.00,1.23,1654.00,1630.00,1642.82,785,1289615.25,16,1630.00,64.28%,14:29:18.592329
SPEN.N0000,AITKEN SPENCE PLC,12235,160.00,161.25,13,160.00,144,0.25,0.16,162.25,155.25,159.13,38578,6138985.50,59,159.75,8.25%,14:29:47.681130
TJL.N0000,TEEJAY LANKA PLC,85,34.30,34.40,273815,34.40,10,-0.10,-0.29,34.50,34.10,34.36,510940,17556093.80,266,34.50,38.10%,14:28:57.856681
TKYO.N0000,TOKYO CEMENT COMPANY (LANKA) PLC,22960,110.00,112.00,10000,111.00,5000,0.50,0.45,111.25,110.00,110.19,184670,20347964.25,153,110.50,27.27%,14:29:23.834833
TKYO.X0000,TOKYO CEMENT COMPANY (LANKA) PLC [Non-Voting],2000,91.90,92.90,490,91.80,3,-1.00,-1.08,93.80,91.80,92.26,121818,11238823.40,117,92.80,36.53%,14:25:23.6630
