Security,Company Name,Bid Qty,Bid Price,Ask Price,Ask Qty,Last,Last Qty,Change,% Change,High,Low,VWA,Volume,Turnover,Trades,Price Close,Buy Sentiment,Time
ACL.N0000,ACL CABLES PLC,10,99.50,100.00,1,99.60,200,-0.40,-0.40,100.00,98.90,99.34,975895,96941050.50,521,100.00,38.97%,14:29:57.472860
ALUM.N0000,ALUMEX PLC,2600,18.80,19.00,3513,19.00,6,-0.30,-1.55,19.20,18.70,18.84,300668,5665854.30,200,19.30,33.54%,14:29:33.124867
ASIR.N0000,ASIRI HOSPITAL HOLDINGS PLC,3450,33.50,33.60,1,33.50,1550,-0.10,-0.30,33.90,33.00,33.26,28688,954188.70,75,33.60,36.77%,14:28:14.346225
BREW.N0000,CEYLON BEVERAGE HOLDINGS PLC,1,2641.00,2760.75,60,2640.75,2,-121.50,-4.40,2760.00,2640.75,2700.38,4,10801.50,2,2762.25,0%,12:13:26.310452
CARG.N0000,CARGILLS (CEYLON) PLC,3,740.00,756.75,4,740.25,10,10.25,1.40,759.75,740.25,743.90,706,525195.00,34,730.00,46.28%,14:29:59.211183
CHL.N0000,CEYLON HOSPITALS PLC,5,331.00,341.00,499,340.75,110,-0.25,-0.07,341.00,320.00,332.82,16992,5655272.00,58,341.00,31.87%,14:24:49.832472
COCO.N0000,RENUKA FOODS PLC,22,70.30,72.40,5,71.00,100,-0.50,-0.70,72.80,70.20,70.79,76196,5394049.40,117,71.50,28.08%,14:27:21.032786
COCO.X0000,RENUKA FOODS PLC [Non-Voting],500,59.50,62.00,1133,60.70,50,1.70,2.88,62.70,59.00,59.78,29185,1744557.90,58,59.00,4.77%,14:25:58.120405
COMB.N0000,COMMERCIAL BANK OF CEYLON PLC,20,227.50,228.00,17118,227.75,19,0.00,0.00,228.00,226.50,227.59,140805,32045120.00,212,227.75,72.97%,14:27:38.619961
DIAL.N0000,DIALOG AXIATA PLC,9733,32.50,33.00,25732,32.60,2,-0.10,-0.31,33.00,32.50,32.66,421758,13774422.70,194,32.70,80.14%,14:27:48.416898
DOCK.N0000,COLOMBO DOCKYARD PLC,50,147.25,148.00,898,148.00,100,0.50,0.34,151.00,144.25,147.42,758285,111789106.25,827,147.50,64.88%,14:29:58.118214
HAYL.N0000,HAYLEYS PLC,232,238.50,239.50,10,239.00,3,0.00,0.00,239.50,238.00,238.99,95372,22792800.00,142,239.00,14.95%,14:27:59.621178
HEXP.N0000,HAYLEYS FIBRE PLC,135,116.00,120.75,300,120.00,200,3.25,2.78,120.00,116.00,116.93,4252,497175.25,26,116.75,42.52%,14:18:15.344093
HNB.N0000,HATTON NATIONAL BANK PLC,274,429.00,430.00,52926,429.25,9,0.25,0.06,430.00,428.75,429.81,245333,105446848.75,210,429.00,81.18%,14:27:39.106946
JETS.N0000,JETWING SYMPHONY PLC,1,17.80,18.00,200,17.80,1000,-0.20,-1.11,18.10,17.70,17.87,231041,4129433.40,197,18.00,30.04%,14:20:49.825868
JKH.N0000,JOHN KEELLS HOLDINGS PLC,740,22.40,22.60,260,22.50,35,0.10,0.45,22.70,22.30,22.56,2954469,66663324.80,351,22.40,46.91%,14:29:05.609658
LIOC.N0000,LANKA IOC PLC,1400,141.50,142.00,6625,142.00,1,2.00,1.43,142.00,140.00,140.67,145350,20446088.50,118,140.00,88.78%,14:29:49.595633
LLUB.N0000,CHEVRON LUBRICANTS LANKA PLC,3,197.00,198.50,250,197.75,1,3.50,1.80,198.00,193.50,196.24,54520,10699056.25,151,194.25,84.10%,14:29:11.446262
MELS.N0000,MELSTACORP PLC,23,180.50,182.25,10,181.50,60,-0.25,-0.14,182.00,180.50,180.98,158448,28675833.25,78,181.75,62.50%,14:20:16.634809
NTB.N0000,NATIONS TRUST BANK PLC,10,338.50,340.00,4100,340.00,22,-3.25,-0.95,343.25,337.00,339.06,37831,12826880.00,81,343.25,28.56%,14:29:54.394948
NTB.X0000,NATIONS TRUST BANK PLC [Non-Voting],1,420.75,445.00,1,445.00,20,-0.75,-0.17,445.00,440.25,444.70,265,117845.75,10,445.75,95.67%,14:28:16.877127
SAMP.N0000,SAMPATH BANK PLC,550,155.75,156.00,110400,156.00,14,0.25,0.16,156.00,155.50,155.84,383302,59734127.25,333,155.75,38.60%,14:29:52.309253
SINS.N0000,SINGER (SRI LANKA) PLC,109,89.80,90.90,100,89.90,400,-0.80,-0.88,92.00,89.90,90.31,57913,5230205.50,94,90.70,37.63%,14:29:12.136451
SLTL.N0000,SRI LANKA TELECOM PLC,6,96.60,98.00,1845,97.00,77,-2.60,-2.61,99.70,97.00,98.03,47699,4676129.20,141,99.60,32.25%,14:29:14.125818
SMOT.N0000,SATHOSA MOTORS PLC,10,1635.00,1650.00,86,1650.00,100,0.50,0.03,1650.00,1635.00,1645.80,1813,2983841.00,60,1649.50,91.77%,14:02:23.211812
SPEN.N0000,AITKEN SPENCE PLC,30,157.00,160.00,56,158.00,4,0.00,0.00,160.00,158.00,159.75,3611,576848.75,22,158.00,32.76%,14:13:18.403300
TJL.N0000,TEEJAY LANKA PLC,49831,38.00,38.70,1010,38.30,9875,-0.30,-0.78,38.80,38.30,38.51,318317,12257360.90,140,38.60,14.52%,14:29:25.768063
TKYO.N0000,TOKYO CEMENT COMPANY (LANKA) PLC,3029,106.00,108.75,90,107.00,3,1.75,1.66,108.75,104.25,106.43,80741,8593370.00,113,105.25,52.86%,14:25:55.043513
TKYO.X0000,TOKYO CEMENT COMPANY (LANKA) PLC [Non-Voting],1,86.50,87.50,303,87.50,17,1.00,1.16,87.50,85.50,86.30,192429,16606913.30,110,86.50,89.89%,14:25:00.211
