Security,Company Name,Bid Qty,Bid Price,Ask Price,Ask Qty,Last,Last Qty,Change,% Change,High,Low,VWA,Volume,Turnover,Trades,Price Close,Buy Sentiment,Time
TKYO.X0000,"TOKYO CEMENT COMPANY (LANKA) PLC [Non-Voting]",1554,85.50,86.50,500,85.70,2000,-5.30,-5.82,89.00,83.00,85.89,441286,37904020.30,430,91.00,84.50%,14:28:32.625147
TKYO.N0000,"TOKYO CEMENT COMPANY (LANKA) PLC",608,104.75,105.75,200,105.00,250,-5.75,-5.19,110.00,103.00,105.77,371915,39338543.00,651,110.75,59.22%,14:29:32.398088
DOCK.N0000,"COLOMBO DOCKYARD PLC",3285,150.50,153.00,4000,151.00,7,-3.75,-2.42,156.00,150.00,150.85,592855,89435016.50,757,154.75,25.46%,14:29:36.585362
JKH.N0000,"JOHN KEELLS HOLDINGS PLC",10,22.20,22.30,10000,22.30,100,-0.40,-1.76,22.70,22.10,22.26,3893129,86679013.40,846,22.70,39.44%,14:29:27.636757
LIOC.N0000,"LANKA IOC PLC",302,140.00,140.50,2700,140.25,10000,-0.50,-0.36,141.50,140.00,140.06,101176,14170960.25,135,140.75,71.94%,14:29:56.933306
SMOT.N0000,"SATHOSA MOTORS PLC",1,1625.00,1650.00,500,1650.00,100,-4.25,-0.26,1699.75,1650.00,1654.55,785,1298821.50,24,1654.25,38.46%,14:29:52.106095
ACL.N0000,"ACL CABLES PLC",1634,99.70,101.50,3761,100.00,100,-0.25,-0.25,101.50,99.30,99.96,1017641,101727222.10,619,100.25,31.45%,14:29:15.605927
HAYL.N0000,"HAYLEYS PLC",5,238.25,239.50,4800,239.25,11,-0.25,-0.10,239.75,239.00,239.13,69446,16606496.25,177,239.50,14.62%,14:29:35.338114
SPEN.N0000,"AITKEN SPENCE PLC",135,159.00,162.00,6000,159.50,3,0.00,0.00,162.25,159.50,160.41,5023,805758.25,30,159.50,93.26%,14:18:27.488517
SAMP.N0000,"SAMPATH BANK PLC",1600,155.75,156.00,50000,156.00,10,0.00,0.00,156.00,155.50,155.95,751943,117267145.50,601,156.00,85.29%,14:29:57.471698
LLUB.N0000,"CHEVRON LUBRICANTS LANKA PLC",60,193.00,194.00,38,193.00,54,0.00,0.00,194.00,193.00,193.32,17061,3298270.75,78,193.00,46.19%,14:27:08.367097
JETS.N0000,"JETWING SYMPHONY PLC",38664,18.00,18.30,2148,18.20,50,0.00,0.00,18.50,18.00,18.19,279306,5080796.00,105,18.20,19%,14:29:52.364924
HNB.N0000,"HATTON NATIONAL BANK PLC",101,428.00,430.00,64752,429.00,30,0.25,0.06,430.00,428.00,429.01,55415,23773414.00,209,428.75,87.38%,14:29:52.886994
COMB.N0000,"COMMERCIAL BANK OF CEYLON PLC",260,226.00,228.50,250,227.00,150,2.00,0.89,228.50,225.00,227.22,180125,40928782.50,303,225.00,40.90%,14:28:57.569766
NTB.N0000,"NATIONS TRUST BANK PLC",1000,336.75,346.50,1,346.00,7,3.50,1.02,346.00,336.50,339.97,27237,9259795.50,79,342.50,78.86%,14:29:24.941329
TJL.N0000,"TEEJAY LANKA PLC",7725,38.50,39.30,4130,38.90,300,0.50,1.30,39.40,38.00,38.67,4796412,185475769.90,428,38.40,86.25%,14:29:53.491875
MELS.N0000,"MELSTACORP PLC",3000,180.75,182.00,1170,182.00,1821,2.50,1.39,184.00,179.75,181.71,41938,7620533.50,100,179.50,99.59%,14:26:19.905806
NTB.X0000,"NATIONS TRUST BANK PLC [Non-Voting]",55,404.00,438.75,21,434.50,5,7.75,1.82,434.50,428.00,430.51,1812,780083.50,34,426.75,60.06%,14:29:33.489569
DIAL.N0000,"DIALOG AXIATA PLC",2000,33.00,33.50,200,33.30,5005,0.60,1.83,33.70,32.80,33.14,899702,29813032.40,434,32.70,67.28%,14:28:34.915786
COCO.N0000,"RENUKA FOODS PLC",200,73.30,75.20,1,73.90,2000,1.50,2.07,79.20,73.50,76.16,1558896,118721989.20,965,72.40,60.60%,14:28:12.402686
COCO.X0000,"RENUKA FOODS PLC [Non-Voting]",55,61.00,63.90,44,62.00,622,6.20,11.11,68.90,62.00,64.32,565106,36348660.70,551,55.80,58.30%,14:29:53.312800
