Security,Company Name,Bid Qty,Bid Price,Ask Price,Ask Qty,Last,Last Qty,Change,% Change,High,Low,VWA,Volume,Turnover,Trades,Price Close,Buy Sentiment,Time
ACL.N0000,ACL CABLES PLC,46205,101.75,102.00,441,102.00,127,1.00,0.99,102.00,100.25,101.65,97567,9917427.25,96,101.00,84.42%,10:57:24.547425
AEL.N0000,ACCESS ENGINEERING PLC,144,74.60,74.70,999,74.60,100,-0.20,-0.27,75.00,74.00,74.13,139267,10323893.00,97,74.80,20.34%,10:56:08.667882
ALUM.N0000,ALUMEX PLC,8055,19.00,19.10,1241,19.00,11945,-0.10,-0.52,19.20,18.80,19.11,97529,1864239.10,34,19.10,62.58%,10:54:42.206010
ASIR.N0000,ASIRI HOSPITAL HOLDINGS PLC,5000,33.60,34.00,10224,34.00,12,1.00,3.03,34.00,33.30,33.76,603075,20358117.30,29,33.00,4.61%,10:50:34.150084
BREW.N0000,CEYLON BEVERAGE HOLDINGS PLC,2,2640.00,2785.00,5,-,-,-,-,0.00,0,-,-,2750.50,-,--:--:--
CARG.N0000,CARGILLS (CEYLON) PLC,117,735.00,746.00,27,739.00,3,-5.25,-0.71,749.00,739.00,739.36,623,460619.50,12,744.25,0.49%,10:44:30.454536
CHL.N0000,CEYLON HOSPITALS PLC,100,332.00,335.00,370,335.00,95,-1.75,-0.52,335.25,335.00,335.01,1160,388615.00,6,336.75,8.19%,10:56:29.806495
COCO.N0000,RENUKA FOODS PLC,1,68.60,68.70,1000,68.70,500,-0.30,-0.43,70.00,68.30,68.92,13064,900423.10,34,69.00,67.45%,10:41:08.656755
COCO.X0000,RENUKA FOODS PLC [Non-Voting],2145,56.20,56.50,31107,56.50,6000,-0.50,-0.88,59.00,56.50,56.58,11406,645380.60,16,57.00,27.25%,10:54:52.239003
COMB.N0000,COMMERCIAL BANK OF CEYLON PLC,19000,234.00,234.25,8295,234.25,400,0.50,0.21,235.00,233.50,233.97,168487,39421133.75,86,233.75,48.77%,10:57:15.720790
DFCC.N0000,DFCC BANK PLC,391,158.25,158.50,7808,158.25,434,-1.00,-0.63,160.00,158.25,158.57,47883,7593042.25,65,159.25,59%,10:50:48.021592
DIAL.N0000,DIALOG AXIATA PLC,189615,32.60,32.80,2300,32.80,100,0.10,0.31,32.90,32.50,32.67,17331,566211.70,42,32.70,46.26%,10:57:34.005905
DOCK.N0000,COLOMBO DOCKYARD PLC,1536,162.00,162.50,74,162.75,201,1.25,0.77,165.00,161.00,162.95,234327,38183802.25,269,161.50,59.27%,10:54:46.893345
HAYL.N0000,HAYLEYS PLC,7606,238.50,239.00,200,239.00,74,0.00,0.00,239.50,238.50,238.86,41994,10030501.75,50,239.00,68.40%,10:54:59.305540
HEXP.N0000,HAYLEYS FIBRE PLC,15017,117.00,119.00,7999,119.00,1,3.00,2.59,120.00,116.50,119.39,21084,2517294.25,26,116.00,99.94%,10:56:12.900105
HHL.N0000,HEMAS HOLDINGS PLC,7131,33.80,34.00,106119,33.80,220,-0.20,-0.59,34.00,33.60,33.79,181559,6135154.10,173,34.00,25.38%,10:54:43.797546
HNB.N0000,HATTON NATIONAL BANK PLC,15,456.50,456.75,12,456.00,10,4.25,0.94,456.00,451.75,454.52,250822,114004039.50,118,451.75,90.32%,10:54:17.649901
JETS.N0000,JETWING SYMPHONY PLC,5000,17.90,18.00,103207,18.00,1500,0.30,1.69,18.00,17.80,18.00,15090,271611.00,10,17.70,99.66%,10:49:32.255748
JKH.N0000,JOHN KEELLS HOLDINGS PLC,523876,22.50,22.60,377541,22.50,1,0.10,0.45,22.60,22.50,22.50,1674595,37684319.40,214,22.40,49.97%,10:55:58.390434
LIOC.N0000,LANKA IOC PLC,11687,141.50,142.50,529,142.50,3,1.50,1.06,142.50,141.00,141.52,135963,19241330.25,52,141.00,98.48%,10:43:32.771804
LLUB.N0000,CHEVRON LUBRICANTS LANKA PLC,2737,199.00,199.25,991,199.25,10,0.00,0.00,200.00,199.25,199.61,2312,461506.00,30,199.25,15.80%,10:56:42.248174
