Security,Company Name,Bid Qty,Bid Price,Ask Price,Ask Qty,Last,Last Qty,Change,% Change,High,Low,VWA,Volume,Turnover,Trades,Price Close,Buy Sentiment,Time
"ACL.N0000","ACL CABLES PLC","276","101.50","102.00","94,643","101.50","883","-0.50","-0.49","102.50","101.00","101.35","182,696","18,515,801.75","153","102.00","24.97%","14:29:53.094793"
"AEL.N0000","ACCESS ENGINEERING PLC","68,935","77.00","77.20","2,492","77.20","2","-0.50","-0.64","77.90","77.00","77.05","372,954","28,735,827.70","129","77.70","28.53%","14:29:54.807527"
"ALUM.N0000","ALUMEX PLC","2,252","17.20","17.30","9,850","17.30","1","0.10","0.58","17.30","17.00","17.14","88,740","1,521,086.00","87","17.20","51.26%","14:28:47.332097"
"ASIR.N0000","ASIRI HOSPITAL HOLDINGS PLC","75","44.40","44.50","2,878","44.50","33","-1.50","-3.26","45.60","44.10","44.85","329,711","14,786,976.50","126","46.00","40.38%","14:28:04.474359"
"BREW.N0000","CEYLON BEVERAGE HOLDINGS PLC","3","2,672.25","2,884.00","5","2,879.00","14","3.25","0.11","2,879.00","2,879.00","2,879.00","15","43,185.00","2","2,875.75","6.67%","10:13:57.827765"
"CARG.N0000","CARGILLS (CEYLON) PLC","1","691.00","700.00","3,191","700.00","14","0.00","0.00","747.00","686.00","690.30","5,568","3,843,596.25","49","700.00","1.55%","14:18:07.169430"
"CDB.X0000","CITIZENS DEVELOPMENT BUSINESS FINANCE PLC [Non-Voting]","1,050","35.20","35.50","15","35.50","2","1.20","3.50","38.00","34.60","35.08","901,727","31,633,183.90","254","34.30","30.51%","14:29:50.496342"
"CHL.N0000","CEYLON HOSPITALS PLC","713","63.10","64.00","78","64.40","50","2.10","3.37","64.50","63.00","63.20","4,780","302,075.50","23","62.30","79.05%","14:11:01.232235"
"COCO.N0000","RENUKA FOODS PLC","1,700","29.80","30.00","7,939","29.70","30","-0.10","-0.34","30.00","29.70","29.74","36,695","1,091,346.50","35","29.80","73.33%","14:00:08.599303"
"COCO.X0000","RENUKA FOODS PLC [Non-Voting]","4,000","26.20","26.50","60,640","26.50","1","0.00","0.00","26.80","26.00","26.27","340","8,932.80","11","26.50","24.73%","14:29:46.364644"
"COMB.N0000","COMMERCIAL BANK OF CEYLON PLC","20","209.00","209.25","200","208.00","624","-2.50","-1.19","211.75","208.00","209.58","355,336","74,469,698.25","700","210.50","56.07%","14:27:13.380634"
"DFCC.N0000","DFCC BANK PLC","2,353","138.75","139.00","11,399","139.00","25","-2.00","-1.42","141.50","138.75","139.59","226,410","31,604,860.50","464","141.00","41.68%","14:28:27.628556"
"DIAL.N0000","DIALOG AXIATA PLC","1,388","35.70","35.80","120","35.90","25","0.00","0.00","36.00","35.70","35.88","127,710","4,582,550.10","187","35.90","16.89%","14:28:12.191701"
"DOCK.N0000","COLOMBO DOCKYARD PLC","8,850","140.50","141.00","2,678","140.50","2,290","-2.75","-1.92","144.50","140.25","142.15","413,737","58,812,819.50","727","143.25","44.48%","14:29:50.952443"
"HAYL.N0000","HAYLEYS PLC","100","241.75","242.00","810","241.75","55","-0.50","-0.21","242.00","239.00","240.23","30,393","7,301,329.00","158","242.25","58.91%","14:29:28.345692"
"HEXP.N0000","HAYLEYS FIBRE PLC","527","119.00","122.25","31","120.00","300","-0.75","-0.62","122.50","120.00","121.68","50,381","6,130,555.75","79","120.75","56.67%","14:01:18.661606"
"HHL.N0000","HEMAS HOLDINGS PLC","6,302","33.20","33.30","537","33.20","4,452","0.20","0.61","33.60","32.90","33.20","415,887","13,807,825.30","204","33.00","80.08%","14:29:10.336667"
"HNB.N0000","HATTON NATIONAL BANK PLC","5","416.50","417.00","3,807","417.00","400","-0.25","-0.06","419.50","416.50","418.09","53,934","22,549,285.00","178","417.25","28.30%","14:29:58.736599"
"HNB.X0000","HATTON NATIONAL BANK PLC [Non-Voting]","549","355.50","355.75","86","355.75","14","-1.75","-0.49","359.00","354.00","356.38","4,831","1,721,649.25","65","357.50","61.66%","14:11:10.171499"
"JETS.N0000","JETWING SYMPHONY PLC","1,350","15.20","15.40","7,966","15.40","34","0.00","0.00","15.50","15.10","15.33","104,030","1,594,638.50","65","15.40","74.98%","14:25:01.597965"
"JKH.N0000","JOHN KEELLS HOLDINGS PLC","307,868","20.50","20.60","116,090","20.50","42","-0.10","-0.49","20.70","20.50","20.58","933,266","19,209,024.80","411","20.60","81.88%","14:28:18.044319"
"LIOC.N0000","LANKA IOC PLC","600","140.50","142.00","1,656","142.00","18","0.50","0.35","142.50","140.00","140.86","212,111","29,877,962.00","165","141.50","49.92%","14:28:20.300991"
"LLUB.N0000","CHEVRON LUBRICANTS LANKA PLC","2,214","196.00","196.50","357","196.50","25","-0.50","-0.25","198.00","196.00","196.99","46,928","9,244,471.00","178","197.00","38.81%","14:29:48.225920"
"MELS.N0000","MELSTACORP PLC","5","189.25","190.25","903","190.25","10","1.50","0.79","190.25","187.00","189.24","68,933","13,044,967.00","134","188.75","67.17%","14:29:57.094528"
"NTB.N0000","NATIONS TRUST BANK PLC","174","323.50","325.75","824","323.50","28","0.50","0.15","327.00","323.50","326.21","10,990","3,585,015.75","84","323.00","40.56%","14:29:43.388608"
"NTB.X0000","NATIONS TRUST BANK PLC [Non-Voting]","30","409.00","419.75","965","419.00","1","-1.00","-0.24","419.00","419.00","419.00","1","419.00","1","420.00","0%","12:44:08.351519"
"PLC.N0000","PEOPLE S LEASING & FINANCE PLC","6,357","24.30","24.40","107","24.40","143","-0.10","-0.41","25.00","24.30","24.48","77,249","1,890,952.30","72","24.50","45.55%","14:27:47.911362"
"RICH.N0000","RICHARD PIERIS AND COMPANY PLC","1,675","34.50","35.50","5","34.50","490","-0.10","-0.29","35.80","34.50","35.03","13,161","460,990.40","37","34.60","39.23%","14:19:42.905645"
"SAMP.N0000","SAMPATH BANK PLC","2,931","149.25","149.50","25,011","149.50","1","-0.25","-0.17","150.00","149.25","149.52","117,049","17,500,853.75","508","149.75","81.50%","14:29:43.114849"
"SINS.N0000","SINGER (SRI LANKA) PLC","65","86.50","87.00","144","86.00","30","-0.30","-0.35","87.40","86.00","86.77","38,431","3,334,490.00","91","86.30","60.92%","14:20:02.502662"
"SLTL.N0000","SRI LANKA TELECOM PLC","600","87.20","87.30","95","87.30","5","0.30","0.34","88.10","87.00","87.51","40,193","3,517,183.30","28","87.00","50.47%","14:24:35.250517"
"SMOT.N0000","SATHOSA MOTORS PLC","2","1,192.00","1,200.00","3","1,200.00","400","0.00","0.00","1,230.00","1,192.00","1,202.48","558","670,984.00","9","1,200.00","88.88%","14:17:31.491459"
"SPEN.N0000","AITKEN SPENCE PLC","1,593","138.25","139.00","249","138.50","2,000","0.00","0.00","140.00","138.50","138.68","21,840","3,028,750.50","98","138.50","21.06%","14:29:35.668498"
