Security,Company Name,Bid Qty,Bid Price,Ask Price,Ask Qty,Last,Last Qty,Change,% Change,High,Low,VWA,Volume,Turnover,Trades,Price Close,Buy Sentiment,Time
SPEN.N0000,AITKEN SPENCE PLC,9,158.25,159.50,15,158.00,3,-3.50,-2.17,160.50,158.00,159.90,14863,2376631.25,45,161.50,11.89%,13:52:21.175931
DOCK.N0000,COLOMBO DOCKYARD PLC,1500,145.75,146.00,11034,146.00,10,-3.00,-2.01,149.00,145.00,145.70,1729795,252032102.75,997,149.00,9.58%,13:55:50.449615
TKYO.N0000,TOKYO CEMENT COMPANY (LANKA) PLC,809,110.25,111.00,1845,110.25,191,-1.75,-1.56,113.00,110.00,110.21,69048,7609572.25,164,112.00,86.45%,13:55:31.694883
TKYO.X0000,TOKYO CEMENT COMPANY (LANKA) PLC [Non-Voting],22,92.30,92.80,100,93.00,22,-0.90,-0.96,94.60,90.00,91.82,232812,21376646.10,181,93.90,2.60%,13:42:54.038089
SMOT.N0000,SATHOSA MOTORS PLC,2,1612.25,1630.00,199,1630.00,50,-10.25,-0.62,1655.00,1630.00,1646.56,1188,1956109.75,31,1640.25,58.87%,13:48:43.124175
NTB.N0000,NATIONS TRUST BANK PLC,176,343.00,345.00,1423,343.00,42,-2.00,-0.58,348.50,342.75,343.48,20667,7098749.75,78,345.00,39.27%,13:55:13.171170
JKH.N0000,JOHN KEELLS HOLDINGS PLC,302351,22.70,22.80,196957,22.80,130,-0.10,-0.44,23.20,22.50,22.83,2217041,50611541.40,631,22.90,40.92%,13:54:30.629642
HNB.N0000,HATTON NATIONAL BANK PLC,485,426.50,427.50,135,427.50,70,-1.25,-0.29,432.00,420.75,426.52,43000,18340499.50,157,428.75,71.92%,13:53:42.356610
ACL.N0000,ACL CABLES PLC,1383,100.75,101.00,172910,101.00,200,0.00,0.00,102.00,100.00,100.67,679145,68370949.75,555,101.00,62.46%,13:53:18.038643
TJL.N0000,TEEJAY LANKA PLC,95061,34.40,34.50,18291,34.50,2000,0.00,0.00,34.90,34.30,34.46,236644,8155557.10,196,34.50,52.87%,13:54:29.407244
DIAL.N0000,DIALOG AXIATA PLC,1539,32.70,32.80,144166,32.80,1,0.00,0.00,33.30,32.60,32.81,1403610,46055461.60,213,32.80,48.37%,13:53:14.533024
COMB.N0000,COMMERCIAL BANK OF CEYLON PLC,4720,227.00,227.50,393,227.50,1,0.25,0.11,228.00,225.75,226.88,157400,35710443.00,215,227.25,76.10%,13:54:42.701332
SAMP.N0000,SAMPATH BANK PLC,1045,155.25,155.50,22304,155.50,30,0.50,0.32,156.00,155.00,155.64,224119,34882500.25,335,155.00,95.59%,13:56:11.594938
MELS.N0000,MELSTACORP PLC,103,184.75,185.00,10,186.00,50,0.75,0.40,186.50,183.25,184.54,139872,25811682.50,98,185.25,6.52%,13:54:46.437377
LLUB.N0000,CHEVRON LUBRICANTS LANKA PLC,11,193.50,194.25,1644,194.25,12,1.00,0.52,194.25,193.00,193.74,5209,1009210.75,50,193.25,68.65%,13:49:46.005540
JETS.N0000,JETWING SYMPHONY PLC,7432,18.80,18.90,96728,18.80,500,0.10,0.53,18.90,18.60,18.78,135257,2540125.50,62,18.70,72.76%,13:48:36.983092
COCO.N0000,RENUKA FOODS PLC,523,70.10,71.40,288,71.40,5,0.50,0.71,72.40,70.00,70.97,43980,3121398.70,90,70.90,38.97%,13:24:56.477595
LIOC.N0000,LANKA IOC PLC,30829,141.00,141.50,7184,141.00,500,1.00,0.71,142.75,139.50,140.86,255902,36047407.25,210,140.00,75.10%,13:52:49.738302
HAYL.N0000,HAYLEYS PLC,20,244.50,245.00,8569,245.00,5,2.00,0.82,245.00,243.25,244.20,321820,78587983.00,433,243.00,39.52%,13:54:00.890969
COCO.X0000,RENUKA FOODS PLC [Non-Voting],395,54.50,56.40,302,56.50,120,0.60,1.07,57.50,54.40,55.20,752,41512.10,11,55.90,33.62%,12:09:49.873462
NTB.X0000,NATIONS TRUST BANK PLC [Non-Voting],150,406.00,411.00,150,411.00,2,9.50,2.37,411.50,405.00,406.15,2511,1019853.50,10,401.50,87.89%,13:13:15.481990
