Security,Company Name,Bid Qty,Bid Price,Ask Price,Ask Qty,Last,Last Qty,Change,% Change,High,Low,VWA,Volume,Turnover,Trades,Price Close,Buy Sentiment,Time
ACL.N0000,ACL CABLES PLC,1480,93.60,93.80,7174,93.80,10,0.80,0.86,93.80,92.80,93.24,127541,11891613.30,192,93.00,96.44%,13:14:53.618480
AEL.N0000,ACCESS ENGINEERING PLC,11106,75.30,75.40,9557,75.40,393,1.10,1.48,76.00,74.50,75.26,851191,64060648.80,240,74.30,67.57%,13:10:53.755972
ALUM.N0000,ALUMEX PLC,580,17.30,17.40,55198,17.30,920,0.40,2.37,17.40,17.10,17.30,86813,1502169.30,56,16.90,64.66%,13:09:00.769515
ASIR.N0000,ASIRI HOSPITAL HOLDINGS PLC,6,31.50,32.00,3289,32.00,5,0.30,0.95,32.80,30.30,31.98,55929,1788334.10,52,31.70,49.31%,12:19:22.641823
BREW.N0000,CEYLON BEVERAGE HOLDINGS PLC,11,2700.00,2889.00,182,2889.00,1,178.00,6.57,2890.00,2700.00,2889.28,267,771439.00,11,2711.00,3.37%,13:14:31.269018
CARG.N0000,CARGILLS (CEYLON) PLC,247,707.00,708.00,7022,707.00,1,4.50,0.64,708.00,700.00,706.49,354,250098.50,18,702.50,73.17%,13:13:58.370485
CHL.N0000,CEYLON HOSPITALS PLC,177,64.20,66.90,952,64.00,100,-0.40,-0.62,67.40,64.00,66.39,8389,556961.80,20,64.40,38.25%,12:31:24.098283
COCO.N0000,RENUKA FOODS PLC,2920,31.50,32.00,2408,31.50,437,0.40,1.29,33.20,30.50,32.47,21661,703436.80,28,31.10,46.16%,12:57:50.360503
COCO.X0000,RENUKA FOODS PLC [Non-Voting],1850,25.10,25.40,2170,25.40,970,1.00,4.10,26.00,24.60,25.40,5906,150030.10,29,24.40,78.55%,13:14:09.848112
COMB.N0000,COMMERCIAL BANK OF CEYLON PLC,16571,210.00,210.25,458,210.25,23,0.75,0.36,210.75,207.00,210.00,284368,59716323.75,293,209.50,80.25%,13:13:46.268221
DFCC.N0000,DFCC BANK PLC,10000,146.00,146.25,729,146.00,17644,2.00,1.39,146.25,145.00,145.41,79274,11527399.50,107,144.00,89.75%,13:12:42.846333
DIAL.N0000,DIALOG AXIATA PLC,626,32.90,33.00,104950,32.90,636,1.30,4.11,33.20,32.60,32.93,391056,12875651.10,186,31.60,78.68%,13:13:31.012304
DOCK.N0000,COLOMBO DOCKYARD PLC,2050,138.75,139.00,5269,139.00,350,1.00,0.72,140.00,138.00,139.41,403165,56204170.50,422,138.00,66.94%,13:15:12.982035
HAYL.N0000,HAYLEYS PLC,888,222.50,222.75,4973,222.75,400,1.50,0.68,223.00,220.50,221.20,160007,35393170.50,115,221.25,15.74%,13:04:35.780233
HAYL.R0000,HAYLEYS PLC [Rights-0000],18302,20.50,20.70,1435,20.50,99,1.20,6.22,21.40,18.90,20.18,554257,11184348.80,468,19.30,27.82%,13:14:14.448799
HEXP.N0000,HAYLEYS FIBRE PLC,100,116.25,117.00,75,118.00,5,0.00,0.00,119.25,116.00,118.68,187,22193.50,8,118.00,49.32%,12:34:24.629245
HHL.N0000,HEMAS HOLDINGS PLC,37799,31.10,31.20,19083,31.20,500,0.20,0.65,31.50,31.20,31.31,1542935,48311479.10,204,31.00,14.72%,13:14:38.695985
HNB.N0000,HATTON NATIONAL BANK PLC,20,411.25,412.50,4596,412.50,45,-1.50,-0.36,414.00,410.00,411.82,26746,11014531.50,178,414.00,25.23%,13:13:50.917554
JETS.N0000,JETWING SYMPHONY PLC,1145,15.80,16.00,190,16.00,1000,0.30,1.91,16.40,15.50,16.02,77896,1248284.90,55,15.70,86.03%,13:11:41.765523
JKH.N0000,JOHN KEELLS HOLDINGS PLC,15418,20.20,20.30,1077862,20.30,1028,0.80,4.10,20.30,19.70,20.06,7688998,154264531.70,780,19.50,82.02%,13:14:51.142663
LIOC.N0000,LANKA IOC PLC,7808,141.75,142.00,22135,142.00,23,3.25,2.34,142.50,138.25,141.66,165375,23426577.75,121,138.75,98.05%,13:08:25.449911
LLUB.N0000,CHEVRON LUBRICANTS LANKA PLC,2065,186.50,186.75,3039,186.75,200,2.25,1.22,188.50,184.00,187.93,189768,35663394.25,153,184.50,24.03%,13:14:09.478814
MELS.N0000,MELSTACORP PLC,296,177.00,178.00,4066,178.00,12,5.00,2.89,179.00,177.75,178.12,5348,952602.00,42,173.00,90.48%,13:08:06.593660
NTB.N0000,NATIONS TRUST BANK PLC,152,308.00,309.00,36999,309.00,25,1.75,0.57,310.00,308.00,309.15,206352,63793519.75,95,307.25,83.44%,13:03:28.779504
NTB.X0000,NATIONS TRUST BANK PLC [Non-Voting],10,403.00,439.00,7,403.00,5,7.50,1.90,440.00,403.00,427.67,15,6415.00,2,395.50,68.59%,11:53:21.860947
PLC.N0000,PEOPLES LEASING & FINANCE PLC,7500,23.50,23.90,5800,23.90,29,0.90,3.91,24.00,23.00,23.20,1333492,30935593.30,126,23.00,42.01%,13:09:55.284140
RICH.N0000,RICHARD PIERIS AND COMPANY PLC,10,34.00,34.40,300,34.50,908,1.50,4.55,34.50,33.00,33.67,85333,2872976.60,123,33.00,73.03%,13:10:55.665898
