Security,Company Name,Bid Qty,Bid Price,Ask Price,Ask Qty,Last,Last Qty,Change,% Change,High,Low,VWA,Volume,Turnover,Trades,Price Close,Buy Sentiment,Time
"ACL.N0000","ACL CABLES PLC","3,202","97.00","97.60","805","97.00","1,898","-0.50","-0.51","98.00","97.00","97.22","176,296","17,138,876.10","170","97.50","86.57%","13:18:23.841870"
"AEL.N0000","ACCESS ENGINEERING PLC","73,049","75.50","75.60","4,204","75.60","500","-0.40","-0.53","76.00","75.50","75.62","445,061","33,654,998.30","112","76.00","0.38%","13:23:21.568625"
"ALUM.N0000","ALUMEX PLC","13,120","16.70","16.80","20,785","16.80","100","0.10","0.60","16.90","16.60","16.76","41,237","690,995.40","48","16.70","61.74%","12:59:31.480119"
"ASIR.N0000","ASIRI HOSPITAL HOLDINGS PLC","1,930","33.60","34.40","997","34.40","3","-0.70","-1.99","36.00","33.60","34.76","93,865","3,262,604.30","84","35.10","36.68%","13:09:02.034500"
"BREW.N0000","CEYLON BEVERAGE HOLDINGS PLC","3","2,800.00","2,938.25","17","2,939.00","2","188.25","6.84","2,940.00","2,925.00","2,931.08","12","35,173.00","4","2,750.75","100%","13:17:24.205187"
"CARG.N0000","CARGILLS (CEYLON) PLC","7","668.25","680.00","96","680.00","5","-4.75","-0.69","689.00","650.00","672.61","1,792","1,205,322.00","53","684.75","13.90%","13:13:59.187238"
"CDB.X0000","CITIZENS DEVELOPMENT BUSINESS FINANCE PLC [Non-Voting]","4,567","32.60","32.80","3,271","32.50","4,460","-0.60","-1.81","33.30","32.50","32.61","430,511","14,037,972.70","127","33.10","88.12%","13:06:21.877820"
"CHL.N0000","CEYLON HOSPITALS PLC","10","60.10","61.00","1,136","61.00","20","0.50","0.83","62.90","59.80","60.62","3,194","193,633.30","21","60.50","2.03%","12:59:48.542240"
"COCO.N0000","RENUKA FOODS PLC","338","27.00","27.90","2,179","27.90","10","0.30","1.09","28.60","27.00","27.20","2,514","68,371.10","19","27.60","16.05%","13:14:06.407010"
"COCO.X0000","RENUKA FOODS PLC [Non-Voting]","1,000","21.10","22.40","2,392","22.40","8","-0.60","-2.61","24.20","20.00","20.29","104,755","2,125,470.20","46","23.00","24.39%","13:20:34.237084"
"COMB.N0000","COMMERCIAL BANK OF CEYLON PLC","228","202.00","203.00","3,436","202.25","262","-2.75","-1.34","205.00","201.75","202.49","125,742","25,460,990.75","432","205.00","33.27%","13:21:56.491811"
"DFCC.N0000","DFCC BANK PLC","100","128.25","129.00","2,124","128.00","542","-1.50","-1.16","129.75","126.00","127.60","90,305","11,523,268.00","341","129.50","13.77%","13:19:12.765864"
"DIAL.N0000","DIALOG AXIATA PLC","41,614","40.40","40.50","37,756","40.50","100","-2.30","-5.37","42.70","40.40","41.08","1,839,274","75,551,318.00","799","42.80","41.27%","13:22:17.286596"
"DOCK.N0000","COLOMBO DOCKYARD PLC","65","126.75","127.00","3,493","127.00","200","-1.00","-0.78","132.75","125.75","127.29","648,088","82,493,915.00","423","128.00","33.67%","13:22:10.230509"
"HAYL.N0000","HAYLEYS PLC","62","233.25","233.50","2,975","233.50","4","-1.00","-0.43","235.00","232.50","233.32","13,679","3,191,546.00","102","234.50","54.55%","13:17:13.423693"
"HEXP.N0000","HAYLEYS FIBRE PLC","22","130.25","134.50","500","130.00","440","-5.00","-3.70","136.00","130.00","131.85","30,011","3,957,025.50","75","135.00","7.01%","13:17:34.817634"
"HHL.N0000","HEMAS HOLDINGS PLC","58,124","30.90","31.00","16,636","31.00","9","-0.20","-0.64","31.90","30.90","30.95","422,617","13,078,508.60","175","31.20","89.11%","13:18:24.528609"
"HNB.N0000","HATTON NATIONAL BANK PLC","3,184","390.25","390.50","6,436","390.50","39","-4.50","-1.14","395.00","390.00","390.77","94,203","36,811,578.00","320","395.00","17.23%","13:22:40.453883"
"HNB.X0000","HATTON NATIONAL BANK PLC [Non-Voting]","7,644","328.00","329.75","11","328.00","314","-2.75","-0.83","333.00","328.00","328.75","47,975","15,771,725.75","148","330.75","27.33%","13:19:43.936202"
"JKH.N0000","JOHN KEELLS HOLDINGS PLC","567,747","19.90","20.00","1,094,871","19.90","120,000","-0.20","-1.00","20.10","19.90","19.94","2,862,850","57,082,118.80","567","20.10","53.09%","13:23:11.395636"
"LIOC.N0000","LANKA IOC PLC","1,000","136.25","136.75","94","136.75","2","0.75","0.55","137.25","135.25","136.14","62,829","8,553,705.25","143","136.00","37.17%","13:19:39.740514"
"LLUB.N0000","CHEVRON LUBRICANTS LANKA PLC","515","197.50","197.75","53","197.75","30","-1.00","-0.50","200.00","197.25","198.15","23,207","4,598,484.00","74","198.75","99.05%","13:03:58.901829"
"MELS.N0000","MELSTACORP PLC","3","183.75","184.00","956","183.50","3","-1.50","-0.81","185.00","183.50","184.76","31,689","5,855,018.50","70","185.00","77.31%","13:08:18.609087"
"NDB.N0000","NATIONAL DEVELOPMENT BANK PLC","404","110.50","111.00","8,436","110.50","1","-1.25","-1.12","112.00","110.00","110.23","56,721","6,252,117.25","257","111.75","5.59%","13:16:50.705445"
"NTB.N0000","NATIONS TRUST BANK PLC","20","314.00","314.75","497","313.00","1,500","-2.75","-0.87","317.00","313.00","314.29","8,799","2,765,430.25","65","315.75","20.36%","13:09:46.299452"
"NTB.X0000","NATIONS TRUST BANK PLC [Non-Voting]","11","383.00","400.00","597","400.00","3","0.00","0.00","400.00","319.00","352.28","1,038","365,662.00","19","400.00","19.51%","11:58:27.606057"
"PLC.N0000","PEOPLE S LEASING & FINANCE PLC","15,010","21.50","21.60","22,896","21.60","1","-0.20","-0.92","22.00","21.50","21.65","40,070","867,662.70","79","21.80","15.60%","13:22:02.858180"
"RICH.N0000","RICHARD PIERIS AND COMPANY PLC","335","28.90","29.00","26,057","29.00","33","-1.00","-3.33","30.00","28.90","29.17","25,273","737,312.90","72","30.00","30.64%","13:22:40.727942"
"SAMP.N0000","SAMPATH BANK PLC","345","140.50","140.75","2,449","140.75","1","0.00","0.00","141.00","140.00","140.22","224,525","31,483,069.75","1101","140.75","26.43%","13:22:37.463173"
"SINS.N0000","SINGER (SRI LANKA) PLC","206","69.00","69.80","5,000","69.00","294","-3.10","-4.30","73.00","68.90","71.38","221,353","15,799,324.20","196","72.10","52.57%","13:22:22.315318"
"SLTL.N0000","SRI LANKA TELECOM PLC","3,692","83.50","84.70","3,911","83.50","50","-1.50","-1.76","85.40","83.50","84.32","3,192","269,150.00","33","85.00","35.50%","12:58:10.540031"
"SMOT.N0000","SATHOSA MOTORS PLC","20","1,120.25","1,186.00","183","1,187.75","7","-4.50","-0.38","1,190.00","1,120.00","1,128.12","313","353,100.50","24","1,192.25","1.35%","12:36:32.771359"
"SPEN.N0000","AITKEN SPENCE PLC","59","136.00","136.25","7,552","135.75","41","-2.50","-1.81","138.50","135.75","136.94","13,407","1,835,978.75","71","138.25","1.55%","13:22:12.507802"
"SUN.N0000","SUNSHINE HOLDINGS PLC","10,292","29.70","29.80","15,173","29.80","1,000","-0.30","-1.00","30.20","29.50","29.81","234,386","6,986,984.00","243","30.10","36.70%","13:21:36.701994"
